"output" "labor" "capital" "province" "ownership" "industry" "list"
34996 9 30887 29 3 12 0
39500 10 1991 5 3 17 0
12500 14 3349 15 3 17 0
28911 14 12868 24 3 17 0
30000 15 9000 24 3 17 0
43000 15 18933 29 3 17 0
16107 16 627 29 3 20 0
53811 16 34207 29 5 17 0
48684 19 4932 24 3 22 0
12134 20 9951 29 3 17 0
18153 20 8873 24 3 4 0
21166 21 8023 29 3 17 0
15053 22 29513 24 6 4 0
60810 23 8468 29 5 17 0
13945 25 2120 29 3 17 0
15506 25 4453 24 3 4 0
30669 25 6754 24 3 17 0
31895 25 4159 24 3 17 0
12500 28 20628 29 2 14 0
54484 28 16140 24 3 17 0
59570 28 1848 24 3 17 0
59917 28 4035 24 3 17 0
131869 28 30443 24 3 17 0
12075 29 25586 5 3 4 0
47908 29 4192 29 5 18 0
12505 30 7021 21 3 17 0
13207 30 13509 24 3 8 0
32000 30 7000 24 2 29 0
52707 30 6200 24 3 17 0
13452 32 1200 24 3 17 0
14490 32 24516 29 2 4 0
17921 32 44129 29 2 4 0
21772 32 5694 9 3 17 0
12042 35 5720 21 3 5 0
18411 37 20824 15 3 4 0
25583 39 3471 29 3 27 0
13250 40 14143 15 3 29 0
14788 40 7479 29 3 17 0
18104 40 34915 29 3 4 0
23748 40 17110 29 5 17 0
33000 40 6000 27 3 29 0
40112 40 15091 29 3 17 0
26239 41 17042 24 2 4 0
67365 42 3180 15 5 17 0
25675 44 7345 24 3 17 0
15000 45 2678 15 3 17 0
19268 45 91969 24 3 29 0
53400 45 3680 29 2 17 0
18649 47 81582 29 2 4 0
103857 48 32249 24 3 7 0
13176 49 1622 29 5 17 0
99836 49 19701 24 2 17 0
12870 50 3823 15 1 20 0
13080 50 6598 29 4 18 0
20000 50 10000 29 3 4 0
25394 50 3690 24 1 17 0
37833 50 210533 5 4 29 0
136700 50 35001 24 3 17 0
14213 52 4881 15 3 17 0
26884 52 5000 24 3 4 0
19337 55 10441 29 2 12 0
52349 55 55403 24 3 8 0
14176 56 1943 29 5 12 0
27450 56 2393 15 2 5 0
63000 56 49309 24 3 17 0
14818 58 7039 15 5 5 0
16443 58 36445 25 2 4 0
39826 58 5238 9 3 17 0
12500 60 15000 6 3 16 0
12732 60 47958 29 3 4 0
14192 60 10982 29 4 5 0
25298 60 11881 5 3 20 0
43443 60 14475 3 3 11 0
29588 61 6498 24 2 18 0
54477 61 7953 24 5 20 0
15163 63 30255 15 3 4 0
20145 63 19036 29 5 8 0
65270 64 9900 29 2 17 0
12748 65 43891 29 3 5 0
13066 66 47108 29 3 4 0
13000 67 9407 29 5 17 0
14970 67 3022 15 3 16 0
16152 68 5181 29 5 5 0
49989 68 5625 24 3 4 0
13940 70 3130 29 3 16 0
14500 70 6850 15 5 22 0
60289 70 12974 15 3 17 0
62393 70 8603 24 1 16 0
26606 71 9028 24 5 17 0
12474 73 9391 29 2 19 0
16900 73 6250 29 2 17 0
15700 74 6583 24 3 17 0
17723 75 9213 29 3 18 0
41121 75 11856 29 3 22 0
15000 76 26138 15 3 4 0
19500 76 11500 15 1 18 0
14911 77 8563 24 3 17 0
36600 78 4561 15 3 18 0
60000 78 23900 21 6 18 0
13214 80 1629 24 3 17 0
16756 80 14483 2 3 17 0
27258 80 4130 15 3 17 0
27899 80 27201 25 3 4 0
35373 80 5637 29 4 5 0
50000 80 9932 29 3 17 0
17633 82 15999 29 5 18 0
26809 82 9799 9 3 17 0
16456 83 12178 10 3 17 0
59000 83 36766 12 3 17 0
44941 85 13637 15 4 5 0
127190 85 5000 29 1 17 0
47163 86 6351 29 2 17 0
21080 87 79725 29 2 4 0
23672 88 18254 15 5 27 0
27554 88 8952 29 3 2 0
15391 89 4249 29 3 16 0
37934 90 14551 29 3 17 0
221397 91 9769 15 5 17 0
12105 100 7864 29 5 16 0
19289 100 3285 15 3 12 0
25000 100 20000 10 3 17 0
28219 100 21101 2 3 23 0
18725 102 15877 3 3 7 0
44142 102 20250 15 4 5 0
16365 103 6546 21 3 5 0
14000 105 12675 29 4 18 0
17645 106 17245 24 3 4 0
38160 106 5788 24 3 5 0
40305 108 165983 28 5 10 0
75369 108 29179 29 3 17 0
16363 110 7996 29 3 5 0
14946 112 6410 24 3 7 0
15000 112 16000 21 2 18 0
15865 112 26667 29 1 5 0
62661 112 4301 29 3 20 0
16230 114 1900 28 3 5 0
16800 115 3800 15 2 18 0
20000 115 8000 24 2 13 0
74634 115 94907 24 5 17 0
16317 116 9776 29 1 7 0
14574 117 4028 16 2 4 0
36252 117 22581 15 3 7 0
45548 117 21566 15 3 16 0
14522 118 5052 15 5 27 0
12017 120 32736 17 5 4 0
13623 120 13425 29 3 22 0
14380 120 6596 21 6 19 0
15102 120 5072 29 1 21 0
19552 120 24760 18 2 1 0
23458 120 4612 15 3 5 0
23720 120 12278 29 3 4 0
29804 120 76425 27 1 12 0
30119 120 12333 22 2 17 0
30860 120 11609 15 3 18 0
34400 120 8000 29 2 19 0
36015 120 5925 15 3 17 0
12500 122 10265 15 5 5 0
45398 122 76293 12 2 4 0
34818 123 78636 19 5 4 0
12800 125 27618 24 2 17 0
14000 125 8000 29 5 7 0
16243 125 4267 15 5 3 0
89420 125 36716 29 5 16 0
16856 126 16585 29 3 22 0
13597 127 17997 16 2 29 0
17222 127 13212 4 3 14 0
14732 128 9773 15 5 25 0
23230 128 20896 29 2 18 0
14253 129 3708 29 3 5 0
36836 129 10303 29 3 3 0
13000 130 3109 29 3 10 0
15840 130 3320 15 3 5 0
16441 130 6120 24 1 16 0
26437 130 3405 24 3 23 0
45001 131 17542 3 3 17 0
14799 133 18774 15 5 17 0
20990 133 21191 29 5 19 0
12940 136 35376 16 2 6 0
13350 136 10300 15 3 19 0
22000 137 149090 24 3 4 0
82530 137 53920 24 3 5 0
22018 140 4620 15 2 19 0
58508 140 86154 29 2 4 0
27555 141 13012 9 4 12 0
14300 145 11302 29 5 5 0
37200 146 6861 21 6 18 0
13436 149 30916 29 4 2 0
12325 150 2426 2 3 17 0
13064 150 7564 29 1 18 0
13170 150 7885 24 5 18 0
14584 150 8816 29 4 7 0
14742 150 14363 30 2 23 0
15001 150 4300 29 3 17 0
15073 150 6300 21 3 19 0
25000 150 10000 29 4 12 0
26942 150 12956 21 4 5 0
47767 150 89796 30 3 4 0
83450 150 13718 2 2 17 0
14212 151 1997 15 3 19 0
21233 153 24583 24 2 12 0
12432 155 9644 29 2 18 0
27015 155 14096 28 2 23 0
12700 156 10722 8 2 19 0
88713 156 145195 24 2 4 0
12001 158 10800 25 3 19 0
56619 158 11539 29 3 10 0
143611 158 66055 24 2 29 0
81690 159 22388 11 3 17 0
132594 159 68004 29 3 29 0
14472 160 23420 12 3 4 0
15000 160 6280 24 3 23 0
19208 160 12670 24 5 3 0
21552 160 13750 24 5 16 0
32152 160 2803 24 3 20 0
50000 160 30000 21 3 4 0
54372 160 33662 15 2 4 0
105000 160 63310 15 2 29 0
22374 161 20358 15 5 3 1
12000 165 13889 18 3 4 0
27462 165 12646 15 3 12 0
30139 166 31095 29 5 19 0
24545 167 16010 15 3 17 0
11302 168 20252 14 3 25 0
13600 168 8324 21 3 5 0
15000 170 8300 29 3 5 0
18580 172 23826 29 4 2 0
12170 176 4615 9 3 5 0
14896 176 4820 29 2 20 0
12000 180 6500 10 4 14 0
12001 180 3342 10 2 20 0
12501 180 21136 2 3 17 0
13679 180 16136 29 3 27 0
15000 180 12000 29 5 5 0
15872 180 9043 29 5 12 0
16600 180 34469 15 3 12 0
17287 180 13823 29 3 12 0
21511 180 23314 29 3 12 0
26000 180 6053 15 2 17 0
30620 180 8500 15 3 5 0
32199 180 27508 29 3 17 0
33000 180 28000 29 3 29 0
145097 180 160000 24 3 4 0
34010 182 23777 29 5 27 0
167001 182 71480 12 3 17 0
22487 184 12539 29 5 21 0
21788 185 31009 29 3 25 0
12134 186 5587 15 2 12 0
18156 188 3262 15 5 22 0
20074 188 21017 29 1 3 0
22779 188 51364 3 3 8 0
36386 188 83500 21 1 19 1
19507 189 7685 15 2 18 0
21788 189 31196 29 3 25 0
44203 190 25511 29 5 17 0
12991 191 4943 29 1 12 0
17000 193 10012 15 5 18 0
17731 193 16988 16 3 5 0
21633 196 10128 24 3 19 0
21475 197 8766 29 3 18 0
23041 198 7105 15 5 18 0
12000 200 7710 15 3 5 0
12483 200 2887 29 3 20 0
13646 200 3974 15 3 3 0
16800 200 10264 9 1 25 0
17152 200 14056 29 4 12 0
30940 200 83325 27 3 19 0
36000 200 5000 24 3 17 0
47905 200 247335 24 3 29 1
52000 200 24249 10 2 5 0
54800 200 9500 9 3 17 0
100497 200 3121 15 5 17 0
15845 201 15974 15 2 17 0
12136 205 9521 24 3 25 0
40092 205 10457 18 3 17 0
23988 206 26429 29 4 2 0
103210 208 76179 29 3 12 0
12349 210 10535 29 3 21 0
13346 210 11444 6 3 17 0
13696 210 9222 15 1 18 0
18452 210 13592 15 3 18 0
20000 210 15000 24 2 16 1
23542 213 4438 29 4 12 0
15929 214 3814 5 5 16 0
12847 215 5500 15 3 18 0
100001 216 33316 24 3 29 0
15000 218 16000 29 1 5 0
20653 218 16648 16 2 5 0
12099 220 11093 29 3 3 0
12772 220 1658 21 4 19 0
19581 220 7311 29 4 18 0
15646 221 20144 24 4 18 0
24000 221 25000 15 3 15 0
14856 225 12367 29 4 12 0
21322 225 27029 29 2 7 0
24357 225 37980 15 4 5 0
23192 226 8952 15 5 19 0
36779 226 3408 21 3 17 0
14899 227 4930 29 3 21 0
14520 228 30412 25 3 17 0
13338 230 7770 29 3 5 0
16233 230 8181 24 3 21 0
25680 230 12530 6 4 14 0
15000 236 12358 24 3 3 0
26540 236 12045 21 3 5 0
67014 236 28518 29 2 5 0
12497 239 1498 21 4 19 0
13989 240 12837 24 3 28 0
67300 241 54077 4 3 9 0
15695 242 47312 25 1 4 0
13299 244 13331 29 5 10 0
35058 244 13641 21 6 18 0
85678 244 37734 24 3 4 0
160530 244 40190 6 5 28 0
21913 245 90743 24 2 4 0
23226 245 16587 15 4 22 0
27574 245 17500 29 4 12 0
15081 247 20727 24 1 3 0
15337 247 6456 29 5 21 0
25611 247 28045 29 3 19 0
14483 250 6845 29 4 12 0
15000 250 6707 24 1 3 0
15787 250 7527 29 3 12 0
17425 250 3986 15 2 20 0
18683 250 20479 15 4 5 0
25980 250 7508 15 5 3 0
